"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","A Kumar; Ahmed Hemani ; Johnny &Ouml;berg","Grammar-Based Hardware Synthesis of Data Communication Protocols ","ISSS International Symposium Systems Synthesis","10","1","1"
"2","A Kumar; Ahmed Hemani ; Johnny &Ouml;berg","Specification of Exception Handling in Grammar-Based Hardware Synthesis ","EUROMICRO","10","2","2"
"3","A Kumar; Ahmed Hemani ; Johnny &Ouml;berg","Scheduling of Outputs in Grammar-based Hardware Synthesis of Data Communication Protocols ","DATE Design Automation and Test Europe","10","3","3"
"4","A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Nick P Tosches ; Perry Miller ; Peter Masiar ; Yang Liu","The TRIPLES database: a community resource for yeast molecular biology ","Nucleic Acids Research","11","1","4"
"5","A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Paulo S R Coelho ; Perry Miller ; Petra Ross-Macdonald","TRIPLES: a database of gene function in Saccharomyces cerevisiae ","Nucleic Acids Research","11","2","5"
"6","A Kumar; Kei-Hoi Cheung ; Mark Gerstein ; Michael Snyder ; Perry L Miller ; Yang Liu","An XML Application For Genomic Data Interoperation ","BIBE IEEE International Conference Bioinformatics and Bioengineering","11","3","6"
"7","A Kumar; Vishv M Malhotra","A Look-Ahead Interpreter for Sequential Prolog and Its Implementation ","FSTTCS Foundations of Software Technology and Theoretical Computer Science","12","1","7"
"8","A Kumar; ","A New Computation Rule for Prolog ","Inf Process Lett","12","2","8"
"9","A Kumar; Manish Kumar Shukla ; P C Mishra ; S K Mishra","An ab initio study of excited states of guanine in the gas phase and aqueous media: Electronic transitions and mechanism of spectral oscillations ","Journal of Computational Chemistry","13","1","9"
"10","A Kumar; David J Craik ; George C Levy","MOLDYN: a generalized program for the evaluation of molecular dynamics models using nuclear magnetic resonance spin-relaxation data ","Journal of Chemical Information and Computer Sciences","13","2","10"
"11","A Kumar; Abhay Chrungoo ; Johara Shahabuddin ; Sandeep Juneja ; Sanjiv Kapoor ; Vishu Gupta","Stream-Packing: Resource Allocation in Web Server Farms with a QoS Guarantee ","HiPC","14","1","11"
